iter	Passed	Remaining
0	44	44446
1	195	97626
2	291	96732
3	295	73491
4	313	62384
5	461	76474
6	608	86354
7	723	89753
8	829	91372
9	949	94001
10	1079	97047
11	1232	101504
12	1388	105434
13	1393	98157
14	1557	102270
15	1675	103048
16	1854	107252
17	1969	107460
18	2112	109067
19	2228	109212
20	2345	109321
21	2460	109371
22	2610	110875
23	2719	110593
24	2814	109771
25	2930	109764
26	3088	111283
27	3192	110835
28	3318	111098
29	3454	111697
30	3589	112206
31	3732	112893
32	3850	112831
33	3974	112916
34	4106	113211
35	4202	112530
36	4306	112081
37	4406	111544
38	4519	111355
39	4620	110898
40	4723	110481
41	4813	109782
42	4920	109510
43	4997	108580
44	5097	108182
45	5198	107804
46	5298	107432
47	5403	107177
48	5512	106994
49	5636	107096
50	5731	106656
51	5834	106375
52	5916	105718
53	6004	105192
54	6084	104543
55	6182	104226
56	6254	103469
57	6360	103305
58	6428	102533
59	6498	101813
60	6602	101631
61	6685	101142
62	6772	100723
63	6867	100437
64	6949	99968
65	7050	99777
66	7146	99518
67	7260	99516
68	7346	99120
69	7465	99183
70	7581	99206
71	7665	98796
72	7773	98715
73	7887	98706
74	8005	98740
75	8135	98916
76	8275	99200
77	8363	98859
78	8478	98839
79	8590	98791
80	8694	98643
81	8801	98535
82	8905	98387
83	8996	98105
84	9111	98083
85	9227	98067
86	9335	97966
87	9450	97944
88	9541	97664
89	9673	97813
90	9765	97546
91	9849	97210
92	9960	97141
93	10063	96991
94	10161	96804
95	10248	96508
96	10377	96610
97	10495	96602
98	10596	96440
99	10692	96228
100	10802	96151
101	10903	95992
102	11029	96049
103	11121	95812
104	11238	95798
105	11324	95508
106	11421	95321
107	11500	94983
108	11616	94953
109	11722	94849
110	11826	94716
111	11919	94507
112	12041	94518
113	12116	94170
114	12199	93883
115	12301	93745
116	12428	93798
117	12534	93687
118	12651	93667
119	12746	93471
120	12832	93222
121	12943	93153
122	13033	92931
123	13131	92768
124	13246	92724
125	13337	92513
126	13430	92324
127	13521	92112
128	13606	91873
129	13698	91675
130	13796	91522
131	13897	91386
132	13970	91071
133	14086	91035
134	14177	90840
135	14249	90528
136	14331	90278
137	14422	90091
138	14530	90007
139	14604	89715
140	14678	89424
141	14778	89297
142	14870	89118
143	14949	88867
144	15018	88557
145	15101	88336
146	15194	88171
147	15279	87962
148	15372	87797
149	15455	87578
150	15552	87444
151	15633	87218
152	15719	87020
153	15807	86838
154	15888	86617
155	15990	86510
156	16060	86238
157	16161	86126
158	16278	86103
159	16369	85939
160	16453	85740
161	16515	85429
162	16615	85321
163	16702	85144
164	16778	84910
165	16889	84856
166	16966	84627
167	17084	84607
168	17178	84469
169	17258	84259
170	17346	84094
171	17450	84005
172	17545	83873
173	17620	83648
174	17700	83446
175	17791	83296
176	17879	83132
177	17978	83022
178	18115	83089
179	18204	82929
180	18314	82871
181	18408	82736
182	18498	82587
183	18635	82646
184	18763	82662
185	18852	82503
186	18943	82359
187	19041	82242
188	19188	82339
189	19282	82202
190	19431	82303
191	19527	82179
192	19655	82186
193	19767	82125
194	19873	82043
195	19990	82002
196	20087	81880
197	20113	81471
198	20261	81555
199	20383	81533
200	20508	81524
201	20622	81467
202	20723	81361
203	20881	81479
204	21032	81566
205	21164	81576
206	21259	81443
207	21401	81491
208	21552	81569
209	21671	81526
210	21765	81388
211	21884	81345
212	22002	81297
213	22121	81250
214	22220	81129
215	22321	81020
216	22438	80963
217	22473	80615
218	22569	80487
219	22670	80378
220	22754	80205
221	22844	80057
222	22934	79910
223	23047	79842
224	23152	79749
225	23240	79594
226	23353	79526
227	23441	79370
228	23603	79469
229	23733	79454
230	23819	79294
231	23936	79236
232	24046	79158
233	24142	79030
234	24232	78885
235	24313	78710
236	24522	78946
237	24691	79054
238	24843	79103
239	24956	79027
240	25083	78998
241	25178	78865
242	25208	78530
243	25318	78444
244	25432	78374
245	25536	78271
246	25637	78159
247	25737	78043
248	25815	77861
249	25918	77755
250	26090	77854
251	26206	77786
252	26343	77781
253	26470	77742
254	26605	77730
255	26701	77600
256	26795	77467
257	26892	77340
258	27031	77338
259	27189	77386
260	27325	77370
261	27437	77286
262	27571	77264
263	27678	77163
264	27778	77046
265	27898	76982
266	28033	76959
267	28175	76956
268	28297	76898
269	28406	76801
270	28548	76797
271	28655	76695
272	28779	76640
273	28956	76724
274	29146	76840
275	29308	76881
276	29431	76819
277	29534	76704
278	29621	76548
279	29751	76504
280	29856	76395
281	29963	76290
282	30053	76141
283	30122	75943
284	30206	75780
285	30292	75624
286	30369	75447
287	30485	75367
288	30558	75181
289	30653	75047
290	30727	74865
291	30832	74757
292	30921	74612
293	31012	74471
294	31090	74300
295	31162	74116
296	31290	74065
297	31380	73922
298	31471	73784
299	31603	73740
300	31684	73578
301	31771	73431
302	31882	73339
303	31968	73190
304	32066	73070
305	32180	72984
306	32274	72854
307	32439	72882
308	32529	72743
309	32650	72673
310	32731	72514
311	32825	72384
312	32890	72191
313	32981	72055
314	33085	71947
315	33167	71792
316	33258	71657
317	33358	71541
318	33474	71460
319	33558	71312
320	33662	71204
321	33772	71110
322	33865	70980
323	33945	70825
324	34020	70657
325	34104	70510
326	34192	70371
327	34309	70293
328	34411	70183
329	34477	70000
330	34603	69939
331	34700	69818
332	34797	69698
333	34900	69591
334	35015	69508
335	35097	69359
336	35184	69220
337	35274	69087
338	35376	68978
339	35502	68916
340	35594	68787
341	35720	68724
342	35810	68594
343	35893	68448
344	36004	68357
345	36101	68237
346	36173	68073
347	36275	67963
348	36364	67832
349	36456	67704
350	36559	67599
351	36691	67544
352	36786	67424
353	36886	67312
354	36985	67198
355	37092	67099
356	37210	67021
357	37282	66857
358	37362	66711
359	37454	66586
360	37545	66458
361	37640	66338
362	37740	66228
363	37851	66135
364	37955	66032
365	38044	65901
366	38141	65786
367	38264	65714
368	38380	65631
369	38481	65523
370	38573	65397
371	38666	65275
372	38753	65143
373	38860	65045
374	38958	64930
375	39036	64783
376	39134	64671
377	39262	64606
378	39359	64490
379	39462	64386
380	39561	64275
381	39648	64144
382	39728	64000
383	39821	63880
384	39914	63759
385	40021	63661
386	40102	63521
387	40184	63383
388	40283	63272
389	40376	63152
390	40461	63020
391	40582	62943
392	40654	62791
393	40747	62672
394	40836	62546
395	40925	62422
396	41026	62314
397	41148	62239
398	41252	62136
399	41482	62224
400	41625	62179
401	41784	62157
402	41911	62087
403	42017	61986
404	42118	61878
405	42238	61796
406	42334	61681
407	42453	61599
408	42531	61457
409	42645	61368
410	42743	61255
411	42838	61139
412	42922	61006
413	43036	60915
414	43147	60823
415	43246	60710
416	43327	60575
417	43414	60448
418	43550	60389
419	43680	60320
420	43787	60220
421	43885	60109
422	43975	59985
423	44048	59839
424	44146	59727
425	44250	59624
426	44326	59482
427	44424	59370
428	44503	59234
429	44602	59124
430	44678	58983
431	44792	58893
432	44869	58755
433	44973	58652
434	45066	58534
435	45175	58438
436	45294	58353
437	45382	58230
438	45478	58116
439	45611	58050
440	45722	57956
441	45734	57737
442	45832	57626
443	45947	57538
444	46047	57430
445	46141	57315
446	46235	57199
447	46346	57105
448	46455	57008
449	46555	56901
450	46638	56772
451	46773	56707
452	46887	56616
453	46980	56500
454	47106	56424
455	47232	56347
456	47459	56390
457	47579	56306
458	47683	56201
459	47821	56137
460	47934	56044
461	48007	55905
462	48101	55789
463	48108	55573
464	48211	55468
465	48313	55363
466	48479	55330
467	48614	55262
468	48680	55116
469	48780	55008
470	48877	54896
471	48958	54767
472	49037	54635
473	49113	54501
474	49199	54378
475	49327	54301
476	49406	54171
477	49496	54052
478	49571	53917
479	49703	53845
480	49811	53747
481	49920	53648
482	50021	53543
483	50108	53421
484	50194	53299
485	50249	53144
486	50339	53027
487	50430	52910
488	50509	52781
489	50611	52676
490	50676	52534
491	50750	52401
492	50824	52267
493	50898	52135
494	50967	51997
495	51029	51852
496	51097	51714
497	51120	51530
498	51186	51391
499	51248	51248
500	51301	51096
501	51374	50964
502	51436	50822
503	51498	50681
504	51552	50531
505	51619	50395
506	51696	50268
507	51762	50131
508	51844	50011
509	51921	49885
510	51990	49751
511	52052	49613
512	52131	49489
513	52208	49364
514	52279	49233
515	52331	49086
516	52394	48948
517	52461	48815
518	52533	48687
519	52582	48538
520	52651	48407
521	52693	48252
522	52754	48114
523	52804	47967
524	52859	47824
525	52927	47695
526	52980	47551
527	53041	47415
528	53101	47279
529	53160	47142
530	53218	47004
531	53294	46882
532	53365	46757
533	53430	46626
534	53497	46497
535	53559	46365
536	53613	46225
537	53672	46090
538	53731	45955
539	53782	45814
540	53832	45673
541	53886	45534
542	53935	45393
535	58622	50747
536	58714	50623
537	58819	50510
538	58896	50373
539	58975	50238
540	59080	50125
541	59182	50010
542	59267	49881
543	59371	49767
544	59464	49645
545	59545	49512
546	59617	49372
547	59700	49242
548	59781	49110
549	59866	48981
550	59943	48847
551	60045	48732
552	60136	48609
553	60225	48485
554	60307	48354
555	60412	48242
556	60478	48100
557	60543	47957
558	60614	47819
559	60667	47667
560	60726	47520
561	60793	47380
562	60856	47237
563	60922	47096
564	60971	46942
565	61043	46807
566	61114	46671
567	61174	46527
568	61246	46392
569	61317	46257
570	61388	46121
571	61451	45981
572	61527	45850
573	61583	45704
574	61661	45575
575	61719	45432
576	61786	45296
577	61850	45157
578	61904	45011
579	61958	44866
580	62020	44727
581	62078	44585
582	62136	44444
583	62197	44304
584	62250	44160
585	62305	44017
586	62353	43870
587	62417	43734
588	62476	43595
589	62534	43456
590	62599	43321
591	62649	43177
592	62712	43042
593	62754	42892
594	62806	42750
595	62860	42609
596	62912	42468
597	62927	42302
598	62983	42164
599	63049	42032
600	63102	41893
601	63166	41760
602	63226	41627
603	63285	41492
604	63359	41366
605	63420	41233
606	63470	41094
607	63519	40953
608	63564	40810
609	63620	40675
610	63676	40540
611	63725	40401
612	63799	40277
613	63850	40140
614	63906	40006
615	63959	39870
616	64015	39737
617	64066	39600
618	64118	39465
619	64173	39332
	68495	42338
618	68634	42245
619	68761	42143
620	68875	42035
621	69005	41935
622	69071	41797
623	69161	41674
624	69247	41548
625	69390	41456
626	69528	41362
627	69650	41257
628	69720	41122
629	69835	41014
630	69978	40922
631	70061	40795
632	70160	40677
633	70261	40560
634	70345	40434
635	70461	40327
636	70554	40205
637	70693	40111
638	70796	39996
639	70923	39894
640	71014	39772
641	71176	39690
642	71337	39607
643	71443	39493
644	71555	39383
645	71654	39265
646	71748	39145
647	71847	39028
648	71959	38918
649	72065	38804
650	72166	38688
651	72262	38569
652	72340	38441
653	72440	38324
654	72645	38263
655	72812	38181
656	72892	38055
657	72990	37937
658	73162	37857
659	73370	37797
660	73507	37698
661	73645	37601
662	73779	37501
663	73891	37390
664	73960	37258
665	74067	37144
666	74198	37043
667	74285	36920
668	74404	36812
669	74509	36698
670	74598	36576
671	74706	36463
672	74813	36350
673	74900	36228
674	75038	36129
675	75143	36015
676	75236	35895
677	75333	35778
678	75420	35655
679	75498	35528
680	75586	35406
681	75659	35278
682	75752	35158
683	75834	35034
684	75906	34905
685	75994	34784
686	76080	34662
687	76182	34547
688	76277	34429
689	76367	34309
690	76460	34191
691	76533	34064
692	76636	33949
693	76724	33829
694	76803	33705
695	76892	33585
696	76970	33460
697	77028	33327
698	77087	33195
699	77157	33067
700	77244	32947
701	77302	32814
702	77363	32684
703	77416	32550
704	77490	32425
705	77591	32311
706	77662	32185
707	77726	32056
708	77810	31936
709	77876	31808
710	77942	31681
711	78002	31551
712	78073	31426
713	78143	31301
714	78220	31178
715	78280	31049
716	78355	30927
717	78406	30794
718	78462	30664
719	78510	30531
720	78570	30403
721	78623	30273
722	78678	30143
723	78731	30013
724	78787	29885
725	78852	29759
726	78914	29633
727	78973	29506
728	79036	29381
729	79094	29253
730	79156	29128
731	79208	28999
732	79268	28873
733	79334	28750
734	79387	28622
735	79443	28495
736	79487	28365
737	79552	28242
738	79601	28113
739	79666	27990
740	79726	27866
741	79780	27740
742	79850	27619
743	79899	27492
744	79952	27366
745	80007	27241
746	80062	27116
747	80124	26993
748	80165	26864
749	80221	26740
750	80276	26616
751	80330	26492
752	80382	26367
753	80434	26242
754	80475	26114
755	80530	25991
756	80594	25871
757	80631	25742
758	80694	25622
759	80742	25497
760	80783	25370
761	80822	25243
762	80858	25116
763	80898	24989
764	80937	24863
765	80980	24738
766	81023	24613
767	81063	24487
768	81108	24364
769	81140	24236
770	81173	24109
771	81210	23984
772	81245	23858
773	81278	23732
774	81314	23607
775	81347	23481
776	81380	23356
777	81414	23231
8356	28065
778	98421	27921
779	98489	27779
780	98545	27632
781	98602	27487
782	98653	27340
783	98713	27196
784	98764	27050
785	98813	26903
786	98877	26761
787	98926	26614
788	98984	26471
789	99056	26331
790	99116	26188
	97498	25761
791	97560	25621
792	97618	25481
793	97689	25345
794	97759	25208
795	97831	25072
796	97885	24931
797	97951	24794
798	98006	24654
799	98059	24514
800	98113	24375
801	98168	24235
802	98223	24097
803	98271	23956
804	98338	23821
805	98383	23680
806	98441	23543
807	98486	23402
808	98554	23268
809	98611	23131
810	98662	22992
811	98717	22855
812	98787	22722
813	98843	22585
