"서울시민업종코드(UPJONG_CD)","기준년월(YM)","고객주소블록코드(BLOCK_CD)","성별(GEDNER)","연령대별(AGE)","카드이용금액계(AMT_CORR)","카드이용건수계(USECT_CORR)"
"SS013","201906","14037","F","50대",48288,65
"SS048","201608","156830","M","30대",132792,10
"SS016","202009","32925","M","50대",100600,25
"SS001","201805","214245","F","30대",213876,40
"SS044","201705","279472","M","30대",155930,5
"SS048","201911","220797","M","40대",20120,15
"SS058","202006","152728","F","40대",285201,91
"SS020","201711","83127","F","60대",15090,15
"SS007","201808","366838","M","30대",197931,5
"SS005","201601","15146","M","50대",155930,5
"SS048","202104","199466","M","20대",377753,45
"SS008","201804","225283","M","10대",6698074,30
"SS035","201911","221384","F","20대",57845,15
"SS022","201607","166842","F","30대",75450,30
"SS058","202106","223965","M","60대",162972,5
"SS054","202011","21080","F","10대",34204,126
"SS046","201612","501646","M","30대",286157,30
"SS069","202003","220263","M","20대",120720,5
"SS019","202010","214763","M","60대",189128,70
"SS046","202105","221661","F","70대이상",34204,15
"SS020","201906","226950","F","30대",848762,35
"SS046","201803","418845","F","20대",430065,30
"SS013","201710","282738","F","40대",2663385,10
"SS068","201604","214034","M","40대",101103,15
"SS004","201805","15308","F","30대",873711,55
"SS002","201604","212413","F","50대",105630,5
"SS001","201601","16988","F","30대",268099,30
"SS018","201809","232645","F","40대",3018000,131
"SS041","201604","214927","M","60대",50300,20
"SS048","202003","222388","F","40대",39234,20
"SS069","202103","203881","M","20대",50385007,5
"SS064","201912","275604","F","30대",30180,50
"SS069","201907","411969","F","50대",337010,10
"SS014","201910","157553","F","30대",503000,15
"SS034","201801","232312","M","20대",1311824,10
"SS049","201711","23683","F","40대",25407,10
"SS065","201801","338937","M","50대",119714,10
"SS006","201707","365438","F","30대",226350,5
"SS001","201803","339874","M","40대",150900,70
"SS029","201703","216069","F","50대",414975,684
"SS031","201910","20468","M","20대",110660,10
"SS008","201907","13219","M","50대",392089,50
"SS018","201808","226455","M","40대",168002,5
"SS016","201708","412985","M","10대",998455,10
"SS005","201812","215997","M","60대",120720,10
"SS016","201911","152747","M","20대",13478242,5
"SS058","202104","354453","F","40대",336004,10
"SS008","201802","10321","F","30대",20120,15
"SS009","201605","421419","F","30대",30180,15
"SS013","202005","24909","F","20대",960730,101
"SS048","202104","418848","M","70대이상",911939,20
"SS017","201606","14575","F","30대",633780,10
"SS068","201712","411193","M","30대",27615,15
"SS021","201805","365225","M","40대",410951,5
"SS083","201910","92067","F","40대",399885,5
"SS068","201707","29516","F","20대",29174,5
"SS024","201707","77197","F","40대",100600,5
"SS008","201603","163867","M","30대",562958,5
"SS003","201705","363705","F","50대",244458,25
"SS006","201809","419412","M","50대",67905,45
"SS016","202106","153312","M","30대",287716,10
"SS001","201605","221034","F","30대",104624,60
"SS040","201710","12035","M","50대",2067582,10
"SS048","202012","156995","F","60대",500485,10
"SS030","202006","412212","F","70대이상",2062300,15
"SS041","201802","217610","F","50대",375741,20
"SS002","201802","14104","M","50대",2110085,5
"SS068","202106","188744","M","60대",38882,5
"SS018","201909","225680","F","40대",67402,5
"SS040","201608","183054","M","60대",62875,10
"SS055","201605","226379","M","50대",23551179,86
"SS069","201703","14641","M","40대",190637,5
"SS048","201607","219310","M","30대",196170,96
"SS001","201811","32884","F","30대",701685,5
"SS003","201911","211016","M","70대이상",6036,30
"SS012","201903","280833","M","20대",44767,5
"SS048","201709","211862","M","50대",39234,191
"SS021","202001","227375","M","20대",503000,5
"SS061","201708","418532","M","50대",42252,176
"SS040","201602","23014","F","50대",236913,171
"SS003","201907","210010","F","30대",183796,25
"SS008","201712","411346","M","60대",248482,5
"SS055","202102","365522","M","20대",165386,86
"SS032","201611","154362","M","50대",70420,5
"SS046","201712","412131","M","40대",192146,10
"SS001","202011","21000","M","70대이상",65390,5
"SS047","202107","231908","M","40대",70420,5
"SS069","202006","415514","F","30대",136816,15
"SS070","201805","211732","M","20대",351346,10
"SS065","201708","213186","M","60대",352100,55
"SS013","202012","358999","M","40대",566831,5
"SS018","201911","21689","M","30대",69414,5
"SS013","201602","216302","M","20대",422520,10
"SS004","201704","20571","F","20대",75450,35
"SS043","202006","213306","M","40대",313369,20
"SS040","201605","214810","M","40대",80480,5
"SS068","201809","226368","F","20대",973808,15
"SS004","201907","282850","F","60대",66648,30
"SS053","201810","343858","M","20대",103618,5
"SS016","201812","209885","F","30대",237416,15
"SS034","202002","21542","M","50대",764057,91
"SS003","202103","14484","M","40대",321920,5
"SS022","201810","410406","M","50대",8048,75
"SS030","201602","28373","M","50대",221622,5
"SS016","201910","349903","F","70대이상",427550,35
"SS020","201903","218215","F","40대",152912,221
"SS017","201812","216698","F","30대",4320770,10
"SS041","201804","274253","M","50대",251500,15
"SS058","201707","223234","F","50대",436604,5
"SS049","201903","212018","F","70대이상",42755,5
