"서울시민업종코드(UPJONG_CD)","기준년월(YM)","시간대구간(TIME)","고객주소블록코드(BLOCK_CD)","카드이용금액계(AMT_CORR)","소액결제건수(MICRO_PYM)"
"SS017","202006","06","11063",257,25
"SS013","201608","06","216137",86,10
"SS016","201802","03","224819",35,15
"SS055","201906","02","19869",10,0
"SS038","201612","05","28382",10,5
"SS043","201606","01","362903",20,35
"SS054","202101","06","17521",10,25
"SS054","202011","02","152539",75,5
"SS006","201608","02","157228",10,10
"SS008","202102","06","16708",15,5
"SS032","202005","05","216213",5,5
"SS056","201807","02","217357",15,5
"SS005","201810","05","232922",15,10
"SS001","201701","01","200247",10,10
"SS005","201903","03","127432",5,0
"SS006","201907","06","179016",121,0
"SS002","201911","06","230309",5,70
"SS062","202002","04","10186",10,55
"SS054","201606","02","282881",25,91
"SS019","201604","04","226161",5,20
"SS001","201903","03","17341",10,5
"SS013","201902","05","361316",5,10
"SS006","202101","06","9772",65,10
"SS015","201805","04","229676",5,55
"SS045","202008","03","413323",5,10
"SS015","201912","05","231855",15,5
"SS019","201912","06","414363",80,10
"SS018","202003","04","26129",20,5
"SS060","201704","02","207294",5,5
"SS024","202003","02","21414",201,20
"SS021","201901","03","210784",10,15
"SS070","201606","01","263858",5,0
"SS067","201902","05","207154",5,0
"SS016","201701","02","214881",5,5
"SS019","201605","03","32888",40,357
"SS001","201609","02","153397",20,20
"SS070","201712","03","15186",15,0
"SS006","201605","03","157155",35,0
"SS033","201901","05","218023",5,50
"SS006","201607","01","213850",25,65
"SS020","201811","05","20979",5,15
"SS081","201705","02","33863",10,15
"SS016","201708","05","208178",5,15
"SS068","202107","01","14970",55,0
"SS004","201812","04","220404",5,0
"SS017","202012","03","219861",10,0
"SS021","202103","06","353703",20,15
"SS031","201903","05","9467",20,0
"SS003","201707","02","214661",10,0
"SS034","201809","05","27657",5,402
"SS055","202009","04","502754",5,0
"SS053","201609","03","14128",25,5
"SS053","202107","03","222577",15,15
"SS006","201610","05","20891",5,35
"SS040","201703","03","24320",121,5
"SS019","201910","03","197734",5,10
"SS048","201602","03","221130",186,10
"SS083","201803","05","227876",10,40
"SS068","201709","05","13028",55,0
"SS064","201806","03","225250",45,20
"SS048","201709","04","409278",5,20
"SS005","201703","05","408345",35,5
"SS067","201703","04","152585",20,10
"SS081","201801","04","153034",25,0
"SS012","201810","03","9105",10,25
"SS016","201612","03","208031",10,0
