"가맹점주소광역시도(SIDO)","가맹점주소시군구(SGG)","업종대분류(UPJONG_CLASS1)","기준일자(YMD)","고객주소집계구별(TOT_REG_CD)","카드이용금액계(AMT_CORR)","카드이용건수계(USECT_CORR)"
"서울","강남구","전자상거래","20201021","1123077020119",251500,25
"서울","관악구","요식/유흥","20170312","1112052010107",158445,20
"서울","마포구","주유","20161205","1113068050004",8048,15
"서울","동작구","의료","20201210","1105066020601",22635,5
"서울","","가정생활/서비스","20210216","1117052020001",65390,10
"경기","마포구","유통","20200319","1108060020010",20120,25
"인천","종로구","요식/유흥","20181123","1108058020503",110409,5
"경기","송파구","요식/유흥","20160418","1112058010033",160457,50
"경기","용인시","미용","20201002","1113074020002",804800,5
"서울","중구","유통","20170405","1119076020602",182710,15
"서울","송파구","가정생활/서비스","20190524","1106080060106",150900,5
"제주","마포구","음/식료품","20160204","1108060030010",503000,5
"서울","중구","음/식료품","20160731","1105054020017",175044,5
"서울","강남구","전자상거래","20160412","1121052030003",251500,20
"경남","송파구","요식/유흥","20210110","1119076020303",125247,5
"서울","용산구","요식/유흥","20190926","1111078020210",936586,10
"서울","성북구","스포츠/문화/레저","20200520","1104067010101",452700,5
"강원","","여행/교통","20180602","1112059030006",627437,5
"서울","노원구","요식/유흥","20210422","1108085070101",59354,5
"서울","서초구","요식/유흥","20170116","1105054020024",18611,25
"제주","강서구","주유","20181025","1106073030303",82995,45
"서울","중랑구","유통","20201103","1120068030701",37675,5
"서울","화성시","유통","20190219","1119062010601",149894,5
"서울","용인시","요식/유흥","20161008","1111059030101",455718,5
"서울","서초구","요식/유흥","20190831","1119054030702",191643,5
"서울","","유통","20180613","1114068010009",179571,5
"서울","","유통","20190321","1120056020006",28671,40
"서울","남양주시","전자상거래","20161229","1121068020020",25150,25
"서울","종로구","유통","20180308","1111052011105",206783,5
"서울","가평군","유통","20160219","1114077010019",29677,10
"서울","마포구","요식/유흥","20201113","1121079030202",970186,5
