"업종대분류(UPJONG_CLASS1)","기준일자(YMD)","시간대구간(TIME)","고객주소집계구별(TOT_REG_CD)","카드이용금액계(AMT_CORR)","카드이용건수계(USECT_CORR)"
"요식/유흥","20161004","06","1123076010009",104624,10
"유통","20210303","05","1122060030003",382592,20
"유통","20170606","06","1123066022301",341688,5
"스포츠/문화/레저","20171206","05","1124075020103",925118,5
"의료","20160909","06","1113075030002",217985,50
"스포츠/문화/레저","20161121","03","1123073010108",592031,10
"의료","20191020","03","1116051010006",34959,5
"주유","20170625","03","1121052030002",5030,20
"음/식료품","20180427","06","1108068010501",331980,5
"스포츠/문화/레저","20180118","02","1122068040202",19617,5
"가정생활/서비스","20180112","04","1122053030801",365555,10
"유통","20201009","06","1117072030004",301800,5
"유통","20171128","03","1106091010101",276650,10
"유통","20170502","06","1125051010503",1016060,25
"전자상거래","20191130","04","1112071030209",35210,20
"의료","20200324","01","1123053030011",1159264,5
"전자상거래","20170929","01","1114070010801",168958,10
"전자상거래","20181210","05","1116052020004",699899,5
"가전/가구","20161011","05","1112071050301",1207200,10
"유통","20190510","05","1109075020005",1443610,20
"주유","20200117","05","1118054020002",5111989,5
"스포츠/문화/레저","20181015","06","1110064010004",776330,45
"의료","20200203","06","1122061031102",812345,5
"전자상거래","20171202","03","1106083030011",181080,60
"주유","20200831","02","1107071050009",317896,40
"전자상거래","20200203","04","1106091080001",29174,10
"주유","20210623","06","1120073030007",5030,5
"여행/교통","20190810","02","1120072040101",191140,10
"교육/학원","20201102","04","1118060010018",813351,15
"유통","20161230","06","1106081080401",305975,55
"요식/유흥","20170304","03","1124056020006",274789,15
"미용","20171004","03","1117069010011",137822,20
"가정생활/서비스","20160110","04","1123080020105",56336,5
"가정생활/서비스","20160417","04","1104056020001",12575,5
"의료","20190102","02","1116054040206",598570,5
"음/식료품","20160706","01","1109075030002",43208,40
"전자상거래","20190422","02","1121052020016",953084,5
"여행/교통","20160906","05","1103052020012",753896,10
"의료","20170401","03","1118055010012",5098006,10
"전자상거래","20190225","02","1112056020007",130277,25
"의류/잡화","20180509","02","1116069040201",140840,5
"음/식료품","20200508","04","1113052010207",262616,5
"유통","20191208","02","1116051011101",1050264,5
"가정생활/서비스","20190515","06","1115072030015",25150,10
"전자상거래","20160610","03","1124068010105",449330,10
"유통","20190901","04","1115054010501",39737,5
"요식/유흥","20161129","04","1111065040102",549276,5
"주유","20200912","02","1119076020004",70923,40
"여행/교통","20180209","06","1117064020202",2561276,5
"요식/유흥","20210731","03","1125065022601",629188,35
"의류/잡화","20170822","02","1119062011301",418898,50
"전자상거래","20180321","02","1122066080408",705206,55
"주유","20190206","05","1112060030103",138325,5
"여행/교통","20171204","06","1112052050003",248281,50
"요식/유흥","20171221","01","1116063010039",826530,5
"유통","20181130","03","1105063040305",15090,15
"유통","20160307","04","1121082030004",60360,25
"의료","20170303","05","1121072010002",497970,15
"스포츠/문화/레저","20191226","06","1124059030119",1313836,5
"교육/학원","20200306","04","1124079020120",673970,15
"전자상거래","20171002","01","1116065010305",754500,10
"의류/잡화","20170425","01","1121064020014",1020587,10
"주유","20201013","03","1110062020109",1163691,25
"전자상거래","20160417","06","1108084010204",49797,5
"전자상거래","20170611","02","1116066010106",6036,5
"스포츠/문화/레저","20170618","05","1125071020030",14587,35
"유통","20171209","03","1109064020708",534941,10
"음/식료품","20200914","05","1109062010604",27665,20
"스포츠/문화/레저","20180418","03","1107061010010",300794,5
"의료","20160319","05","1101053020002",162972,10
"요식/유흥","20180823","03","1113068050005",347070,96
"가정생활/서비스","20191106","02","1104069020004",621205,55
"요식/유흥","20210510","05","1119055010101",221722,5
"요식/유흥","20181107","06","1105061010015",9557,10
"주유","20200218","06","1117068020003",386807,5
"가정생활/서비스","20200831","05","1103058020001",199087,5
"여행/교통","20160325","05","1104055030101",117199,10
"전자상거래","20190603","05","1117064010007",59354,5
"유통","20190523","03","1107061020014",18108,35
"주유","20171105","06","1110060020018",50300,5
"스포츠/문화/레저","20200402","06","1116055030033",763956,30
"요식/유흥","20200301","06","1104059030202",29174,5
"음/식료품","20200730","04","1114077010604",84504,5
"의료","20171208","02","1123072020104",384795,20
"전자상거래","20171124","03","1116071021603",2193432,10
"여행/교통","20160901","03","1104054020009",327453,35
"유통","20191015","05","1107069040009",1131750,50
"유통","20171215","01","1121063020013",94011,5
"의료","20170602","05","1111076040001",1681529,10
"요식/유흥","20170325","04","1115061010801",159954,25
"요식/유흥","20200226","04","1107070010504",150900,5
"가정생활/서비스","20170430","03","1123073020010",169008,45
"유통","20190708","04","1109070020002",366687,10
"요식/유흥","20181209","03","1123067030003",762095,55
"의류/잡화","20180707","06","1124058020011",336306,5
"유통","20170425","05","1116064030402",50300,5
"가정생활/서비스","20170808","05","1115057040101",414724,15
"미용","20200917","01","1119054030901",653900,25
"교육/학원","20200207","05","1119061020601",646858,5
"스포츠/문화/레저","20200406","02","1124060020003",835483,10
"요식/유흥","20210409","02","1123051010102",55833,35
"미용","20210314","06","1122066080406",125247,5
"유통","20200831","06","1118059020018",15536815,5
"전자상거래","20161102","05","1102067020001",130780,55
"의료","20160613","04","1111059040102",60360,5
"요식/유흥","20190628","05","1111056010703",49797,5
"음/식료품","20160901","05","1117072050012",377250,5
"음/식료품","20161226","05","1111056020402",122229,10
"주유","20191018","02","1116051010301",100600,5
"유통","20191105","06","1115059030005",14084,45
"유통","20190629","03","1116073020035",4939158,5
"요식/유흥","20160212","05","1103059030001",447595,20
"스포츠/문화/레저","20170108","05","1122058020107",1006000,5
"전자상거래","20200825","06","1115070010309",136816,55
"전자상거래","20171228","05","1115072030022",1084971,10
"가전/가구","20160128","06","1116073030030",851579,30
"음/식료품","20160203","06","1124071060103",301800,5
"미용","20200827","04","1125061020016",5030,5
"가정생활/서비스","20170615","06","1115070010206",621708,40
"요식/유흥","20170426","05","1118057040002",183595,5
"유통","20171012","05","1123077020114",47785,15
"유통","20200209","03","1124077010118",40847926,25
"요식/유흥","20170912","02","1122066020003",132002,40
"여행/교통","20181002","05","1116051011901",414120,25
"가정생활/서비스","20161024","04","1104052010010",167952,5
"요식/유흥","20171002","04","1118061010201",1070887,5
"의료","20190608","02","1121064020003",497970,5
"주유","20200711","04","1117055020004",654051,45
"전자상거래","20181221","03","1122066070106",410951,25
"가정생활/서비스","20181113","04","1124064020021",378960,15
"음/식료품","20170307","05","1118054020006",201200,5
"교육/학원","20170824","01","1106082020001",157439,30
"음/식료품","20200914","02","1120068030401",325597,10
"유통","20171102","05","1114073010008",50300,25
"전자상거래","20190131","06","1121065010014",328560,20
"가정생활/서비스","20191121","06","1125051020304",599274,5
"유통","20210227","02","1121058010006",16599,10
"전자상거래","20190714","04","1104065040102",423023,5
"요식/유흥","20200121","04","1122064021202",503000,50
"가정생활/서비스","20181112","04","1125071020027",84504,5
"가정생활/서비스","20210223","06","1125061020008",142047,20
"스포츠/문화/레저","20160528","03","1113065020204",153415,15
"유통","20160120","05","1108082030202",497970,30
"요식/유흥","20210404","03","1108071020001",869788,15
"전자상거래","20200423","05","1121081010005",90857,40
"주유","20190617","05","1115066040302",842354,35
"교육/학원","20200102","05","1106081040001",611648,25
"요식/유흥","20180203","02","1113066010008",477347,5
"요식/유흥","20170114","04","1123052020023",213574,5
"주유","20210317","02","1123071030002",720548,35
"전자상거래","20180704","03","1124062020801",1886250,10
"미용","20160421","06","1106081080006",1345575,15
"주유","20170915","04","1125072010002",854547,5
"음/식료품","20160917","03","1111059010105",23641,5
"유통","20190120","02","1123064060003",24647,5
"스포츠/문화/레저","20170911","05","1108064020006",1381982,5
"의료","20161004","02","1112073040004",48288,25
"유통","20170303","05","1111053030206",154924,10
"요식/유흥","20160524","05","1108077030004",145619,5
"의료","20180221","01","1108076040006",459541,20
"전자상거래","20210219","05","1106072040008",83498,20
"요식/유흥","20210131","03","1104070010001",846881,60
"의료","20171212","05","1115052020011",1076018,5
"의료","20200412","05","1116074030415",20120,15
"음/식료품","20180825","01","1120052020003",460245,25
"음/식료품","20170619","01","1115060010003",711745,5
"주유","20210304","03","1124059030119",295261,5
"의료","20190426","05","1119056040101",210958,5
"여행/교통","20190210","04","1108083030004",65390,15
"유통","20180217","05","1103074040008",81486,5
"주유","20180421","05","1122052040303",11531979,91
"요식/유흥","20201101","06","1115065030101",30180,5
"스포츠/문화/레저","20190109","03","1107059031002",317896,15
"주유","20201119","03","1124068020302",391837,5
"요식/유흥","20190105","02","1123053030007",197679,20
"주유","20180826","04","1118058010001",60360,5
"유통","20160717","02","1106081020001",301800,15
"음/식료품","20171126","04","1124053010011",273079,15
"주유","20170218","05","1112052040002",1857328,45
"주유","20160117","04","1123063020005",280674,5
"미용","20190312","02","1103074040101",75601,10
"전자상거래","20190721","03","1113065020001",143506,5
"주유","20190417","03","1122057010102",241762,5
"유통","20161018","04","1121066010206",311860,5
"유통","20160102","05","1123064010011",347070,10
"유통","20190112","02","1121069030011",45270,45
"음/식료품","20170727","03","1114073011404",145870,25
"전자상거래","20210319","03","1117069020010",160709,5
"유통","20190227","05","1111079050008",10060,5
"여행/교통","20180119","02","1125071020026",1498135,5
"음/식료품","20190417","04","1115066040701",25150,35
"가정생활/서비스","20190205","04","1105061010006",81486,40
"요식/유흥","20200123","05","1118061020006",29929,5
"전자상거래","20180430","03","1120071040004",337262,5
"전자상거래","20160425","04","1112051050101",72935,10
"전자상거래","20200430","04","1121079020119",56336,10
"유통","20200227","03","1112074010014",1672475,5
"의료","20191128","01","1109069020013",323932,10
"요식/유흥","20190126","04","1116054010301",363870,5
